,year,quarter,count,company_code,pub_code,,,,,,,,,
0,2019,1,0,natnnl,sfwsj,,,,,,,,,
1,2019,2,0,natnnl,sfwsj,,,,,,,,,
2,2019,3,0,natnnl,sfwsj,,,,,,,,,
3,2019,4,0,natnnl,sfwsj,,,,,,,,,
0,2020,1,0,natnnl,sfwsj,,,,,,,,,
1,2020,2,0,natnnl,sfwsj,,,,,,,,,
0,1995,1,0,natnnl,sfnyt,,,,,,,,,
1,1995,2,0,natnnl,sfnyt,,,,,,,,,
2,1995,3,0,natnnl,sfnyt,,,,,,,,,
3,1995,4,0,natnnl,sfnyt,,,,,,,,,
4,1996,1,0,natnnl,sfnyt,,,,,,,,,
5,1996,2,0,natnnl,sfnyt,,,,,,,,,
6,1996,3,0,natnnl,sfnyt,,,,,,,,,
7,1996,4,0,natnnl,sfnyt,,,,,,,,,
8,1997,1,0,natnnl,sfnyt,,,,,,,,,
9,1997,2,0,natnnl,sfnyt,,,,,,,,,
10,1997,3,0,natnnl,sfnyt,,,,,,,,,
11,1997,4,0,natnnl,sfnyt,,,,,,,,,
12,1998,1,0,natnnl,sfnyt,,,,,,,,,
13,1998,2,0,natnnl,sfnyt,,,,,,,,,
14,1998,3,0,natnnl,sfnyt,,,,,,,,,
15,1998,4,0,natnnl,sfnyt,,,,,,,,,
16,1999,1,0,natnnl,sfnyt,,,,,,,,,
17,1999,2,0,natnnl,sfnyt,,,,,,,,,
18,1999,3,0,natnnl,sfnyt,,,,,,,,,
19,1999,4,0,natnnl,sfnyt,,,,,,,,,
20,2000,1,0,natnnl,sfnyt,,,,,,,,,
21,2000,2,0,natnnl,sfnyt,,,,,,,,,
22,2000,3,0,natnnl,sfnyt,,,,,,,,,
23,2000,4,0,natnnl,sfnyt,,,,,,,,,
24,2001,1,0,natnnl,sfnyt,,,,,,,,,
25,2001,2,0,natnnl,sfnyt,,,,,,,,,
26,2001,3,0,natnnl,sfnyt,,,,,,,,,
27,2001,4,0,natnnl,sfnyt,,,,,,,,,
28,2002,1,0,natnnl,sfnyt,,,,,,,,,
29,2002,2,0,natnnl,sfnyt,,,,,,,,,
30,2002,3,0,natnnl,sfnyt,,,,,,,,,
31,2002,4,0,natnnl,sfnyt,,,,,,,,,
32,2003,1,0,natnnl,sfnyt,,,,,,,,,
33,2003,2,0,natnnl,sfnyt,,,,,,,,,
34,2003,3,0,natnnl,sfnyt,,,,,,,,,
35,2003,4,0,natnnl,sfnyt,,,,,,,,,
36,2004,1,0,natnnl,sfnyt,,,,,,,,,
37,2004,2,0,natnnl,sfnyt,,,,,,,,,
38,2004,3,0,natnnl,sfnyt,,,,,,,,,
39,2004,4,0,natnnl,sfnyt,,,,,,,,,
40,2005,1,0,natnnl,sfnyt,,,,,,,,,
41,2005,2,0,natnnl,sfnyt,,,,,,,,,
42,2005,3,0,natnnl,sfnyt,,,,,,,,,
43,2005,4,0,natnnl,sfnyt,,,,,,,,,
44,2006,1,0,natnnl,sfnyt,,,,,,,,,
45,2006,2,0,natnnl,sfnyt,,,,,,,,,
46,2006,3,0,natnnl,sfnyt,,,,,,,,,
47,2006,4,0,natnnl,sfnyt,,,,,,,,,
48,2007,1,0,natnnl,sfnyt,,,,,,,,,
49,2007,2,0,natnnl,sfnyt,,,,,,,,,
50,2007,3,0,natnnl,sfnyt,,,,,,,,,
51,2007,4,0,natnnl,sfnyt,,,,,,,,,
52,2008,1,0,natnnl,sfnyt,,,,,,,,,
53,2008,2,0,natnnl,sfnyt,,,,,,,,,
54,2008,3,0,natnnl,sfnyt,,,,,,,,,
55,2008,4,0,natnnl,sfnyt,,,,,,,,,
56,2009,1,0,natnnl,sfnyt,,,,,,,,,
57,2009,2,0,natnnl,sfnyt,,,,,,,,,
58,2009,3,0,natnnl,sfnyt,,,,,,,,,
59,2009,4,0,natnnl,sfnyt,,,,,,,,,
60,2010,1,0,natnnl,sfnyt,,,,,,,,,
61,2010,2,0,natnnl,sfnyt,,,,,,,,,
62,2010,3,0,natnnl,sfnyt,,,,,,,,,
63,2010,4,0,natnnl,sfnyt,,,,,,,,,
64,2011,1,0,natnnl,sfnyt,,,,,,,,,
65,2011,2,0,natnnl,sfnyt,,,,,,,,,
66,2011,3,0,natnnl,sfnyt,,,,,,,,,
67,2011,4,0,natnnl,sfnyt,,,,,,,,,
68,2012,1,0,natnnl,sfnyt,,,,,,,,,
69,2012,2,0,natnnl,sfnyt,,,,,,,,,
70,2012,3,0,natnnl,sfnyt,,,,,,,,,
71,2012,4,0,natnnl,sfnyt,,,,,,,,,
72,2013,1,0,natnnl,sfnyt,,,,,,,,,
73,2013,2,0,natnnl,sfnyt,,,,,,,,,
74,2013,3,0,natnnl,sfnyt,,,,,,,,,
75,2013,4,0,natnnl,sfnyt,,,,,,,,,
76,2014,1,0,natnnl,sfnyt,,,,,,,,,
77,2014,2,0,natnnl,sfnyt,,,,,,,,,
78,2014,3,0,natnnl,sfnyt,,,,,,,,,
79,2014,4,0,natnnl,sfnyt,,,,,,,,,
80,2015,1,0,natnnl,sfnyt,,,,,,,,,
81,2015,2,0,natnnl,sfnyt,,,,,,,,,
82,2015,3,0,natnnl,sfnyt,,,,,,,,,
83,2015,4,0,natnnl,sfnyt,,,,,,,,,
84,2016,1,0,natnnl,sfnyt,,,,,,,,,
85,2016,2,0,natnnl,sfnyt,,,,,,,,,
86,2016,3,0,natnnl,sfnyt,,,,,,,,,
87,2016,4,0,natnnl,sfnyt,,,,,,,,,
88,2017,1,0,natnnl,sfnyt,,,,,,,,,
89,2017,2,0,natnnl,sfnyt,,,,,,,,,
90,2017,3,0,natnnl,sfnyt,,,,,,,,,
91,2017,4,0,natnnl,sfnyt,,,,,,,,,
92,2018,1,0,natnnl,sfnyt,,,,,,,,,
93,2018,2,0,natnnl,sfnyt,,,,,,,,,
94,2018,3,0,natnnl,sfnyt,,,,,,,,,
95,2018,4,0,natnnl,sfnyt,,,,,,,,,
96,2019,1,0,natnnl,sfnyt,,,,,,,,,
97,2019,2,0,natnnl,sfnyt,,,,,,,,,
98,2019,3,0,natnnl,sfnyt,,,,,,,,,
99,2019,4,0,natnnl,sfnyt,,,,,,,,,
100,2020,1,0,natnnl,sfnyt,,,,,,,,,
101,2020,2,0,natnnl,sfnyt,,,,,,,,,
0,1995,1,0,natnnl,sfglob,,,,,,,,,
1,1995,2,0,natnnl,sfglob,,,,,,,,,
2,1995,3,0,natnnl,sfglob,,,,,,,,,
3,1995,4,0,natnnl,sfglob,,,,,,,,,
4,1996,1,0,natnnl,sfglob,,,,,,,,,
5,1996,2,0,natnnl,sfglob,,,,,,,,,
6,1996,3,0,natnnl,sfglob,,,,,,,,,
7,1996,4,0,natnnl,sfglob,,,,,,,,,
8,1997,1,0,natnnl,sfglob,,,,,,,,,
9,1997,2,0,natnnl,sfglob,,,,,,,,,
10,1997,3,0,natnnl,sfglob,,,,,,,,,
11,1997,4,0,natnnl,sfglob,,,,,,,,,
12,1998,1,0,natnnl,sfglob,,,,,,,,,
13,1998,2,0,natnnl,sfglob,,,,,,,,,
14,1998,3,0,natnnl,sfglob,,,,,,,,,
15,1998,4,0,natnnl,sfglob,,,,,,,,,
16,1999,1,0,natnnl,sfglob,,,,,,,,,
17,1999,2,0,natnnl,sfglob,,,,,,,,,
18,1999,3,0,natnnl,sfglob,,,,,,,,,
19,1999,4,0,natnnl,sfglob,,,,,,,,,
20,2000,1,0,natnnl,sfglob,,,,,,,,,
21,2000,2,0,natnnl,sfglob,,,,,,,,,
22,2000,3,0,natnnl,sfglob,,,,,,,,,
23,2000,4,0,natnnl,sfglob,,,,,,,,,
24,2001,1,0,natnnl,sfglob,,,,,,,,,
25,2001,2,0,natnnl,sfglob,,,,,,,,,
26,2001,3,0,natnnl,sfglob,,,,,,,,,
27,2001,4,0,natnnl,sfglob,,,,,,,,,
28,2002,1,0,natnnl,sfglob,,,,,,,,,
29,2002,2,0,natnnl,sfglob,,,,,,,,,
30,2002,3,0,natnnl,sfglob,,,,,,,,,
31,2002,4,0,natnnl,sfglob,,,,,,,,,
32,2003,1,0,natnnl,sfglob,,,,,,,,,
33,2003,2,0,natnnl,sfglob,,,,,,,,,
